TERYT;Województwo;Wyborcy uprawnieni;Andrzej Sebastian DUDA;Rafał Kazimierz TRZASKOWSKI
20000;dolnośląskie;2240376;663831;824109
40000;kujawsko-pomorskie;1572933;476728;542472
60000;lubelskie;1671659;725453;368630
80000;lubuskie;770309;199589;296849
100000;łódzkie;1909980;718404;600673
120000;małopolskie;2662442;1107590;749165
140000;mazowieckie;4666787;1630346;1784947
160000;opolskie;766446;215648;239682
180000;podkarpackie;1680845;785645;322133
200000;podlaskie;919765;352489;233621
220000;pomorskie;1839064;512916;764363
240000;śląskie;3417778;1110233;1155894
260000;świętokrzyskie;989213;419367;231748
280000;warmińsko-mazurskie;1128441;325723;369736
300000;wielkopolskie;2681058;829590;1011128
320000;zachodniopomorskie;1351364;367096;523113
