t1_TERYT;t1_Województwo;t1_Liczba.wyborców.uprawnionych.do.głosowania;t1_Liczba.kart.ważnych;t1_Andrzej.Sebastian.DUDA;t1_Rafał.Kazimierz.TRZASKOWSKI;t2_Liczba.wyborców.uprawnionych.do.głosowania;t2_Liczba.kart.ważnych;t2_Andrzej.Sebastian.DUDA;t2_Rafał.Kazimierz.TRZASKOWSKI
02;dolnośląskie;2254674;1430953;545001;512357;2240376;1500893;663831;824109
04;kujawsko-pomorskie;1580004;964274;380190;322961;1572933;1027342;476728;542472
06;lubelskie;1679712;1046757;591234;201571;1671659;1104247;725453;368630
08;lubuskie;773526;474991;161894;174894;770309;500326;199589;296849
10;łódzkie;1931018;1267726;589185;363209;1909980;1330856;718404;600673
12;małopolskie;2663068;1790052;912452;426950;2662442;1873755;1107590;749165
14;mazowieckie;4572339;3216319;1305649;1099956;4666787;3444246;1630346;1784947
16;opolskie;772390;437775;176552;139125;766446;459221;215648;239682
18;podkarpackie;1684688;1067584;646103;172789;1680845;1117510;785645;322133
20;podlaskie;920327;555430;280113;114076;919765;591639;352489;233621
22;pomorskie;1796422;1177626;397169;453006;1839064;1288134;512916;764363
24;śląskie;3455664;2222590;913421;693193;3417778;2286894;1110233;1155894
26;świętokrzyskie;991408;615554;343752;130670;989213;656542;419367;231748
28;warmińsko-mazurskie;1112335;635443;253931;208922;1128441;701201;325723;369736
30;wielkopolskie;2696143;1765810;666539;595803;2681058;1856619;829590;1011128
32;zachodniopomorskie;1320966;814876;287328;307858;1351364;897210;367096;523113
